ID,name,sex,type,age
Kubitschek,Goetz Kubitschek,2,1,4
Weissmann,Karlheinz Weissmann,2,1,5
Menzel,Felix Menzel,2,1,4
Duke,David Duke,2,1,6
Krebs,Pierre Krebs,2,1,99
Willinger,Markus Willinger,2,1,3
Gerber,Tony Gerber,2,1,4
Altmieks,Nils Altmieks,2,1,99
Zeilinger,Sebastian Zeilinger,2,1,99
Kohlmann,Martin Kohlmann,2,1,99
Elbin,Maximilian Elbin,2,1,1
Schueller,Johannes Schueller,2,1,99
Augener,Nando Dragan Augener,2,1,99
Hackmann,Andreas Hackmann,2,1,99
Schibblock,Gerold Schibblock,2,1,99
Dittmer,Melanie Dittmer,1,1,99
EPL,Ein Prozent fuer unser Land,99,2,99
SZS,Sezession,99,2,99
Lichtmesz,Martin Lichtmesz,2,1,99
Ulbricht,Stefan Ulbricht,2,1,99
JF,Junge Freiheit,99,2,99
VerlagA,Verlag Antaios,99,2,99
BNA,Blaue Narzisse,99,2,99
IBB,Identitaere Bewegung Brandenburg,99,2,99
ASVerlag,Arktos Verlag,99,2,99
IBDE,Identitaere Bewegung Deutschland,99,2,99